Provincia,Tipo recurso,CIF,exp_fecapertura,Nombre establecimiento,Municipio,C. Postal,Web
Cáceres,Mayorista - Minorista,A10033603,09/06/2010,VIAJES CORIA TOURS S.A.,MONTEHERMOSO,10810,No
Cáceres,Mayorista - Minorista,A10033603,09/06/2010,VIAJES CORIA TOURS S.A.,CORIA,10800,No
Cáceres,Mayorista - Minorista,A10033603,09/06/2010,VIAJES CORIA TOURS S.A.,PLASENCIA,10600,No
Cáceres,Mayorista - Minorista,A10033603,09/06/2010,VIAJES CORIA TOURS S.A.,CACERES,10001,No
Cáceres,Mayorista - Minorista,A28229813,09/06/2010,VIAJES EL CORTE INGLES S.A.,CACERES,10001,Si
Cáceres,Mayorista - Minorista,A48115638,09/06/2010,VIAJES EROSKI BIDAIAK S.A.,CACERES,10000,No
Cáceres,Mayorista - Minorista,034768142P,16/09/2022,VIAJES ESTIVAL TRUJIJLLO,TRUJILLO,10200,No
Cáceres,Mayorista - Minorista,A10005510,09/06/2010,"VIAJES HALCON, S.A.",CACERES,10000,No
Cáceres,Mayorista - Minorista,A10005510,09/06/2010,"VIAJES HALCON, S.A.",PLASENCIA,10600,No
Cáceres,Mayorista - Minorista,A10005510,09/06/2010,"VIAJES HALCON, S.A.",NAVALMORAL DE LA MATA,10300,Si
Cáceres,Mayorista - Minorista,A10005510,09/06/2010,"VIAJES HALCON, S.A.",TRUJILLO,10200,No
Cáceres,Mayorista - Minorista,A10005510,09/06/2010,"VIAJES HALCON, S.A.",CACERES,10002,No
Cáceres,Mayorista - Minorista,06985135N,09/06/2010,VIAJES MONFRAGÜE,CACERES,10001,No
Cáceres,Mayorista - Minorista,B10214310,12/05/2017,VIAJES RODRIGUEZ,CORIA,10800,Si
Cáceres,Mayorista - Minorista,B10439115,23/08/2013,VIAJES RUTAMUNDO,PLASENCIA,10600,No
Cáceres,Mayorista - Minorista,B10251072,09/06/2010,VIAJES SIERRA TOURS S.L.,NAVALMORAL DE LA MATA,10300,No
Cáceres,Mayorista - Minorista,076028995B,29/04/2022,VIAJES Y EVENTOS CACERES,CASAR DE CACERES,10190,No
Cáceres,Mayorista - Minorista,B10481646,03/07/2017,VIAJEXT,CACERES,10001,Si
Cáceres,Mayorista - Minorista,076017414E,21/08/2023,VITAMINA TRAVELS,TALAYUELA,10310,No
Cáceres,Mayorista - Minorista,B13705272,05/06/2014,WOM LETS TRAVEL,VALDELACASA DE TAJO,10332,No
Cáceres,Mayorista - Minorista,013146513N,30/11/2012,XERTE TRAVEL GROUP,PLASENCIA,10600,No
Cáceres,Mayorista - Minorista,A03357340,09/06/2010,"ZAFIRO TOURS, S.A.",CACERES,10000,No
Cáceres,Mayorista - Minorista,E10341543,29/04/2021,ZT 579,PLASENCIA,10600,No
Cáceres,Minorista,B10449494,12/06/2014,AMBERES VIAJES,CACERES,10005,Si
Cáceres,Minorista,B10478238,09/05/2017,BIKES AT FOREST,CACERES,10005,No
Cáceres,Minorista,053103431L,11/12/2019,BIRDING AND WILDPHOTO TOURS,ALDEA DEL OBISPO (LA),10291,No
Cáceres,Minorista,B10198802,09/01/2024,BONIFACIO RUFO E HIJOS,MALPARTIDA DE PLASENCIA,10590,No
Cáceres,Minorista,076112713D,09/03/2012,BUREO,ROMANGORDO,10359,Si
Cáceres,Minorista,B10395267,07/01/2015,DELFINEX VIAJES,MALPARTIDA DE PLASENCIA,10680,Si
Cáceres,Minorista,E10457489,13/03/2015,EXCURSIONES PEMAR,CACERES,10005,No
Cáceres,Minorista,076131071J,30/08/2019,GRUPO ODA VIAJES MAGIC ROUTE,NAVACONCEJO,10613,Si
Cáceres,Minorista,011778662V,10/10/2017,ITINERE VIAJES,PLASENCIA,10600,Si
Cáceres,Minorista,028938005A,14/10/2011,LOW COST TU VIAJE,CACERES,10005,No
Cáceres,Minorista,B-10392660,09/06/2010,LUXURY & PRIVILEGE TRAVEL,PLASENCIA,10600,No
Cáceres,Minorista,B10129856,09/06/2010,NEVATUR S.L.,CACERES,10000,Si
Cáceres,Minorista,E10476323,15/03/2017,PENDIENTE DE APORTAR DOCUMENTACIÓN.,CASAR DE CACERES,10190,No
Cáceres,Minorista,028938909X,26/07/2017,PURA VIDA VIAJES,CACERES,10005,No
Cáceres,Minorista,028943857J,18/04/2018,RIALTO VIAJES,ZORITA,10130,No
Cáceres,Minorista,B10389385,23/06/2011,RURALPLAN VIAJES,CACERES,10004,Si
Cáceres,Minorista,B10478956,08/08/2017,VAZSAN TOURS,PINOFRANQUEADO,10630,No
Cáceres,Minorista,078753667B,12/12/2017,VIAJES A MIL DESTINOS,NAVALMORAL DE LA MATA,10300,Si
Cáceres,Minorista,B10186260,09/06/2010,VIAJES CC TRAVEL,CACERES,10002,Si
Cáceres,Minorista,B10455137,30/12/2014,VIAJES CON GANCHO,CACERES,10001,No
Cáceres,Minorista,000695501G,14/03/2011,VIAJES DABARE,ARROYO DE LA LUZ,10900,No
Cáceres,Minorista,007868365L,26/04/2016,VIAJES MANARE,PLASENCIA,10600,Si
Cáceres,Minorista,007419131K,28/08/2017,VIAJES MONTERO,HERVAS,10700,No
Cáceres,Minorista,B10058022,09/06/2010,VIAJES ORTIZ TRAVEL S.L.,NAVALMORAL DE LA MATA,10300,No
Cáceres,Minorista,B10468676,05/05/2016,VIAJES RUBIO,PLASENCIA,10600,No
Cáceres,Minorista,A10007631,23/05/2013,VIAJES SOLIS TOUR,MONTANCHEZ,10170,Si
Cáceres,Minorista,076031036M,31/07/2018,VIAJES THUNDER TRIPS,CACERES,10004,Si
