Nº INSCRIPCIÓN,DENOMINACIÓN SOCIAL,PROVINCIA,LOCALIDAD,CP,CLASE O GRADO,FECHA INSCRIPCIÓN
CC-020,SOCIEDAD COOPERATIVA DE VIVIENDA LIMITADA ALAGÓN DEL CAUDILLO,CACERES,ALAGON,10690,Sociedades Cooperativas de Viviendas,25/09/1980
EXT-338,SOCIEDAD COOPERATIVA TABAQUERA UNEXTA,CACERES,ALAGON,10690,Sociedades Cooperativas Agroalimentarias,24/06/1992
EXT-1159,LOS GUINDALES SOCIEDAD COOPERATIVA,CACERES,ALCANTARA,10980,Sociedades Cooperativas Agroalimentarias,26/01/2018
EXT-880,SOCIEDAD COOPERATIVA ALCANTARINA,CACERES,ALCANTARA,10980,Sociedades Cooperativas Agroalimentarias,15/10/1973
EXT-319,"SOCIEDAD COOPERATIVA DEL CAMPO NUESTRA SEÑORA DE LOS HITOS, S. COOP.",CACERES,ALCANTARA,10980,Sociedades Cooperativas Agroalimentarias,29/04/1963
EXT-347,SOCIEDAD COOPERATIVA SAN ISIDRO DE ALCUESCAR,CACERES,ALCUESCAR,10160,Sociedades Cooperativas Agroalimentarias,29/05/1956
19403,"COOPERATIVA FUNDACION LLORENS NTRA. SRA. DE LOS REMEDIOS, COOP.",CACERES,ALDEA DEL CANO,10163,Sociedades Cooperativas de Trabajo Asociado,23/12/1972
21063,SOCIEDAD COOPERATIVA SAN MARTÍN,CACERES,ALDEA DEL CANO,10163,Sociedades Cooperativas Agroalimentarias,10/07/1975
EXT-1193,"STELA SOLUCIONES TECNOLÓGICAS, S. COOP. ESPECIAL",CACERES,ALDEA DEL CANO,10163,Sociedades Cooperativas de Trabajo Asociado,30/11/2018
EXT-742,"RIO ALMONTE, SOCIEDAD COOPERATIVA",CACERES,ALDEACENTENERA,10251,Sociedades Cooperativas Agroalimentarias,09/04/2008
CC-026,SOCIEDAD COOPERATIVA LIMITADA NUEVA ESPERANZA,CACERES,ALDEACENTENERA,10251,Sociedades Cooperativas de Trabajo Asociado,12/01/1981
CC-116,"VIÑAS DE CENTENERA, S. COOP. LTDA",CACERES,ALDEACENTENERA,10251,Sociedades Cooperativas de Trabajo Asociado,09/10/1984
EXT-1266,"ALDEAVERA, S. COOP. ESPECIAL",CACERES,ALDEANUEVA DE LA VERA,10440,Sociedades Cooperativas de Trabajo Asociado,07/07/2021
16400,COOPERATIVA DE PRODUCCIÓN CONFECCIONES TEXTILES,CACERES,ALDEANUEVA DE LA VERA,10440,Sociedades Cooperativas de Trabajo Asociado,10/01/1969
EXT-1285,"PENCONA, SOCIEDAD COOPERATIVA",CACERES,ALDEANUEVA DE LA VERA,10440,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,20/05/2022
EXT-899,SOCIEDAD COOPERATIVA DEL CAMPO SAN ISIDRO,CACERES,ALDEANUEVA DEL CAMINO,10740,Sociedades Cooperativas Agroalimentarias,14/10/1944
CC-036,SOCIEDAD COOPERATIVA LIMITADA AMBRACIA VETTONA,CACERES,ALDEANUEVA DEL CAMINO,10740,Sociedades Cooperativas de Trabajo Asociado,05/05/1981
EXT-787,"AGROPECUARIA ALIANA, S. COOP.",CACERES,ALIA,10137,Sociedades Cooperativas Agroalimentarias,21/11/1986
EXT-234,S. COOP. DEL CAMPO SANTA CATALINA,CACERES,ALIA,10137,Sociedades Cooperativas Agroalimentarias,25/10/1967
18945,"COOPERATIVA REGIONAL DE LA CONSTRUCCIÓN, S. COOP.",CACERES,ALISEDA,10550,Sociedades Cooperativas de Trabajo Asociado,16/05/1972
20472,SOCIEDAD COOPERATIVA APÍCOLA DEL TESORO,CACERES,ALISEDA,10550,Sociedades Cooperativas Agroalimentarias,01/08/1974
CC-029,SOCIEDAD COOPERATIVA LIMITADA ESPECIAL COMIEX,CACERES,ALISEDA,10550,Sociedades Cooperativas de Trabajo Asociado,18/01/1981
