"Nregistro","Ambito","Provincia","Fregistro","Nombre","Domicilio","Dlocalidad","CodPostal","fines"
1492,"Provincial","Badajoz",22/02/90,"ASOCIACION DE VIUDAS ""NTRA. SRA. DE GUADALUPE""","LEGION X","MERIDA","06800"," AGRICULTURA, GANADERÍA, SILVICULTURA, CAZA, PESCA, OTRAS"
1492,"Local","Cáceres",05/03/92,"LOCAL DE PESCADORES LAS MELLIZAS","PZ. DE ESPAÑA, 12","SIERRA DE FUENTES","10181"," AGRICULTURA, GANADERÍA, SILVICULTURA, CAZA, PESCA, OTRAS"
1493,"Provincial","Badajoz",01/03/90,"CULTURAL STA. MARIA MAGDALENA","CALVO SOTELO, 6","MIRANDILLA","06891"," CULTURALES"
1493,"Provincial","Cáceres",13/03/92,"CULTURALY DE FESTEJOS LA LANCHUELA","GENERAL SANJURJO S7N","VILLAR DE PLASENCIA","10720"," CULTURALES"
1494,"Provincial","Badajoz",07/02/90,"ASOCIACIÓN DE MUJERES DON ÁLVARO DE LUNA","PZA. DE ESPAÑA, 5","DON ÁLVARO","06820"," IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, PROMOCIÓN DE LA ENSEÑANZA, SOCIOEDUCATIVAS"
1494,"Provincial","Cáceres",05/12/91,"COLECTIVO PEDAGOGICO BABIA","FACTORÍA DE ALFONSO XIII. LAS MESTAS","LADRILLAR","10625"," IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, PROMOCIÓN DE LA ENSEÑANZA, SOCIOEDUCATIVAS"
1495,"Provincial","Cáceres",18/03/92,"CB-27 NORTE PROVINCIA CÁCERES","FRANCISCO PIZARRO, 9","TALAYUELA","10310"," OTRAS"
1496,"Provincial","Badajoz",05/03/90,"APA. ESCUELA DE MUSICA ""GUSTAV MAHLER""","MARTIRES, 29","ALMENDRALEJO","06200"," CULTURALES, MADRES Y PADRES DE ALUMNOS"
1496,"Comarcal","Cáceres",18/03/92,"CULTURAL GRUPO DOLMEN","PZ. GREGORIO BRAVO S/N","VALENCIA DE ALCÁNTARA","10500"," CULTURALES, MADRES Y PADRES DE ALUMNOS"
1497,"Provincial","Badajoz",05/03/90,"JUBILADOS Y PENSIONISTAS","C/ Altozano, nº 56","OLIVA DE LA FRONTERA","06120"," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, PERSONAS MAYORES"
1497,"Autonómico","Cáceres",09/03/92,"CULTURAL ECOLOGISTA ALIMOCHE","Ronda del Salvador 77 Bajo","PLASENCIA","10600"," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, PERSONAS MAYORES"
1498,"Provincial","Badajoz",05/03/90,"PRO-DERECHO A UNA VIVIENDA DIGNA","DOSMA 14-2º DCHA.","BADAJOZ",," DERECHOS HUMANOS, LIBERTADES PÚBLICAS, HISTÓRICAS"
1498,"Autonómico","Cáceres",09/03/92,"DE ESTUDIOS HERÁLDICOS Y GENELÓGICOS DE EXTREMADUR","C/ Lucio Cornelio Balbo 6","CÁCERES",," DERECHOS HUMANOS, LIBERTADES PÚBLICAS, HISTÓRICAS"
