Num. Registro,Provincia,exp_fecapertura,exp_fecestado,Nombre establecimiento,Municipio,C. Postal,Web
OA-CC-00025,Cáceres,07/02/2013,07/02/2013,CALVITERO NATURA,CACERES,10003,Si
OA-CC-00120,Cáceres,08/03/2016,08/03/2016,CARYSO,CACERES,10000,Si
OA-CC-00093,Cáceres,10/02/2015,10/02/2015,CUENTA TROVAS DE CORDEL,CACERES,10004,No
OA-CC-00195,Cáceres,18/04/2023,18/04/2023,EL CIELO DE CÁCERES,CACERES,10003,No
OA-CC-00123,Cáceres,14/07/2016,14/07/2016,FACTOR OCIO,CACERES,10005,Si
OA-CC-00107,Cáceres,23/06/2015,23/06/2015,"GRUPO CREACTIVA. EDUCACION, DEPORTES, OCIO Y EVENTOS, SL.",CACERES,10003,No
OA-CC-00144,Cáceres,28/12/2018,28/12/2018,GUÍAS-HISTORIADORES DE EXTREMADURA,CACERES,10003,No
OA-CC-00024,Cáceres,28/01/2013,28/01/2013,HIDEPHHOTO EXTREMADURA,CACERES,10002,Si
OA-CC-00030,Cáceres,29/04/2013,29/04/2013,"INSERTUS, SL.",CACERES,10005,Si
OA-CC-00012,Cáceres,28/02/2005,28/02/2005,LEGOLA,CACERES,10003,Si
OA-CC-00063,Cáceres,19/11/2013,19/11/2013,NOSOLOCUERDA,CACERES,10001,Si
OA-CC-00122,Cáceres,20/06/2016,20/06/2016,ROMAGAL EVENTS,CACERES,10000,No
OA-CC-00180,Cáceres,21/02/2022,21/02/2022,RUTAS MISTERIOSAS,CACERES,10004,Si
OA-CC-00046,Cáceres,11/02/2009,11/02/2009,"SOLUCIONES WELLNESS, SL",CACERES,10195,Si
OA-CC-00198,Cáceres,24/03/2023,24/03/2023,SPAIN FREE TOURS,CACERES,10000,Si
OA-CC-00106,Cáceres,23/06/2015,23/06/2015,TAJO NATURAL BIRDWATCHING AND FISHING,CACERES,10000,No
OA-CC-00115,Cáceres,30/10/2015,30/10/2015,VALLE SECRETO,CACERES,10001,No
OA-CC-00060,Cáceres,07/10/2013,07/10/2013,VENARE HUNTING,CACERES,10001,No
OA-CC-00028,Cáceres,19/03/2013,19/03/2013,CAMPING RIOMALO,CAMINOMORISCO,10620,Si
OA-CC-00135,Cáceres,25/09/2017,25/09/2017,JALAMA OUTDOOR,CARCABOSO,10670,Si
OA-CC-00117,Cáceres,13/01/2016,13/01/2016,ACTIVIDADES BARBANCHO,CASAR DE CACERES,10190,No
OA-CC-00155,Cáceres,11/09/2019,11/09/2019,ACTIVIDADES BARBANCHO,CASAR DE CACERES,10190,No
OA-CC-00124,Cáceres,07/09/2016,07/09/2016,HÍPICA RUTA DE LA PLATA,CASAR DE CACERES,10190,No
OA-CC-00129,Cáceres,19/04/2017,19/04/2017,TURNAEX,CASAR DE CACERES,10190,No
OA-CC-00043,Cáceres,16/07/2008,16/07/2008,JERTEXTREM,CASAS DEL CASTAÑAR,10616,Si
OA-CC-00061,Cáceres,08/10/2013,08/10/2013,GREEN EXTREMADURA,CASATEJADA,10520,Si
OA-CC-00201,Cáceres,03/05/2023,03/05/2023,OLIBOR,CASTAÑAR DE IBOR,10340,Si
OA-CC-00202,Cáceres,07/06/2023,07/06/2023,BARBO NATURA,CECLAVIN,10870,No
OA-CC-00004,Cáceres,04/12/2007,04/12/2007,ACTION VERA,COLLADO,10414,No
OA-CC-00085,Cáceres,08/10/2014,08/10/2014,EXPERIENCIAS Y SENSACIONES TURISTICAS S.L.,CORIA,10800,No
OA-CC-00005,Cáceres,10/01/2008,10/01/2008,EXTREMAVELA,CORIA,10800,Si
OA-CC-00062,Cáceres,12/11/2013,12/11/2013,MI SIERRA DE GATA,CORIA,10800,Si
OA-CC-00139,Cáceres,09/05/2018,09/05/2018,IDIOMATUR,CUACOS DE YUSTE,10430,Si
OA-CC-00072,Cáceres,19/03/2014,19/03/2014,GANATUR,DELEITOSA,10370,No
OA-CC-00103,Cáceres,08/06/2015,08/06/2015,PICADERO SAN MIGUEL,ELJAS,10891,Si
OA-CC-00200,Cáceres,19/04/2023,19/04/2023,PHOTOBIRDS,ESCURIAL,10133,Si
OA-CC-00081,Cáceres,31/07/2014,31/07/2014,"ALCANTARA, PESCA, EVASION",GARROVILLAS DE ALCONÉTAR,10940,No
OA-CC-00150,Cáceres,18/03/2019,18/03/2019,NATRURAL EXPLORADORES DEL GEOPARQUE. ASTRO VILLUERCAS,GUADALUPE,10140,Si
OA-CC-00102,Cáceres,01/06/2015,01/06/2015,DEHESA DE SOLANA,HERRERA DE ALCANTARA,10512,Si
OA-CC-00097,Cáceres,17/03/2015,17/03/2015,ACTIVIDADES TURÍSTICAS HERVÁS,HERVAS,10700,No
OA-CC-00196,Cáceres,15/12/2021,15/12/2021,"AMBROVEN,  VISITAS GUIADAS Y EXPERIENCIAS TURÍSTICAS",HERVAS,10700,No
OA-CC-00187,Cáceres,07/04/2022,07/04/2022,AQUILA NATURALEZA,HERVAS,10700,Si
OA-CC-00167,Cáceres,02/07/2020,02/07/2020,BICIS AMBROZ ERL,HERVAS,10700,No
OA-CC-00111,Cáceres,11/08/2015,11/08/2015,COLMER ACTION BTT,HERVAS,10700,Si
OA-CC-00160,Cáceres,20/01/2020,20/01/2020,E-BIKES HERVÁS Y AD ASTRA HERVÁS,HERVAS,10700,Si
OA-CC-00199,Cáceres,21/03/2023,21/03/2023,HIDESAMBROZ,HERVAS,10700,Si
OA-CC-00019,Cáceres,02/10/2012,02/10/2012,"ORIGEN, DEPORTE Y NATURALEZA",HERVAS,10700,No
